,park,bike,cycl,pedestrian,on foot,on-foot,walking,total,FinalCluster,Label
111,EISE,0,2,0,0,0,0,2,1.0,Transit Parks
112,ELMA,0,3,0,1,0,9,13,7.0,Rural Low Visitation
113,ELMO,0,3,0,1,0,4,8,7.0,Rural Low Visitation
114,ELRO,0,2,2,0,0,0,4,4.0,Urban Low Visitation
115,EUON,0,3,0,1,0,6,10,1.0,Transit Parks
116,EVER,20,63,2,1,0,18,104,8.0,Rural High Visitation
117,FEHA,7,10,7,0,0,7,31,2.0,Urban Sites
118,FIIS,4,24,1,9,0,2,40,1.0,Transit Parks
119,FILA,0,2,0,1,0,4,7,3.0,Low Visitation Sites
120,FLFO,0,2,0,0,0,0,2,7.0,Rural Low Visitation
121,FLNI,4,6,1,1,0,9,21,8.0,Rural High Visitation
122,FOBO,0,2,0,0,0,0,2,7.0,Rural Low Visitation
123,FOBU,1,7,0,0,0,0,8,7.0,Rural Low Visitation
124,FOCA,3,3,1,0,0,0,7,4.0,Urban Low Visitation
