,park, ev ,electric vehicle, charger , alternative fuel , electric car , charging port , nrel , renewable energy ,total,FinalCluster,Label
292,OBED,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
293,OBRI,0,0,0,0,0,0,0,0,0,,
294,OCMU,0,0,0,7,0,0,0,0,7,4.0,Urban Low Visitation
295,OLYM,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
296,ORCA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
297,ORPI,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
298,OZAR,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
299,PAAL,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
300,PAAV,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
301,PAGR,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
302,PAIS,0,6,0,6,0,0,0,0,12,8.0,Rural High Visitation
303,PECO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
304,PEFO,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
305,PERI,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
306,PETE,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
307,PETR,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
308,PEVI,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
309,PINN,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
310,PIPE,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
311,PIRO,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
312,PISC,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
313,PISP,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
314,POCH,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
315,POHE,0,0,0,0,0,0,0,0,0,,
316,POPO,0,0,0,0,0,0,0,0,0,,
317,PORE,4,108,0,26,0,0,0,0,138,1.0,Transit Parks
318,PRWI,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
319,PUHE,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
320,PUHO,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
321,PULL,0,0,0,0,0,0,0,0,0,,
322,RABR,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
323,REDW,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
324,RICH,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
325,RIGR,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
326,RIRA,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
327,ROCR,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
328,ROLA,0,0,0,7,0,0,0,0,7,1.0,Transit Parks
329,ROMO,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
330,RORI,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
331,ROWI,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
332,RRBH,0,0,0,0,0,0,0,0,0,,
333,RUCA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
334,SAAN,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
335,SACN,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
336,SACR,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
337,SAFR,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
338,SAGA,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
339,SAGU,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
340,SAHI,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
341,SAIR,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
342,SAJH,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
343,SAJU,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
