park,wheelchair,accessibility,disability,impaired,disabilities,handicap,accessible,ada,barrier,ramp,braille,disabled,handicapped,total
BRCR,2,41,2,0,1,0,9,4,0,0,2,0,0,61
BRVB,8,58,2,0,2,1,29,16,1,8,4,0,1,130
BUFF,0,27,2,0,1,0,0,8,0,0,0,0,0,38
BUIS,0,43,2,0,1,0,9,8,1,0,0,0,0,64
CABR,6,103,35,2,5,3,22,14,1,2,9,0,0,202
CACH,5,40,4,0,1,0,5,5,0,0,0,0,0,60
CACL,8,42,2,1,1,0,10,9,0,1,0,0,0,74
CACO,24,269,2,3,2,0,28,23,0,3,4,1,0,359
CAGR,2,77,2,3,2,0,3,11,1,9,1,0,0,111
CAHA,10,162,2,4,3,0,39,38,14,129,4,2,0,407
CAKR,0,28,2,0,1,0,0,8,0,0,0,0,0,39
CALO,4,36,2,0,1,0,11,11,32,13,0,0,0,110
CAMO,0,42,2,0,2,0,2,25,0,0,0,0,0,73
CANA,14,96,8,0,4,0,26,16,5,33,0,0,0,202
CANY,25,115,5,0,13,0,60,22,0,11,3,4,0,258
CARE,8,120,8,1,3,0,27,25,0,62,0,0,0,254
CARI,1,51,2,0,3,0,8,8,0,3,3,0,0,79
CARL,2,51,2,0,1,0,7,9,0,0,0,0,0,72
CASA,4,54,3,0,3,1,6,8,2,1,1,0,1,84
CATO,30,157,3,1,63,62,149,101,0,15,0,0,62,643
CAVE,0,38,2,0,1,0,0,33,0,0,0,0,0,74
CAVO,0,55,2,1,1,1,22,9,0,0,0,0,0,91
CAWO,0,50,2,0,2,0,10,8,0,2,0,0,0,74
CBGN,0,4,2,0,1,0,0,4,0,0,0,0,0,11
CEBE,4,61,3,0,2,0,9,8,0,1,1,0,0,89
CEBR,2,78,4,0,3,0,2,14,0,0,0,0,0,103
CECH,4,57,2,0,2,0,4,6,0,16,0,0,0,91
CHAM,6,58,4,0,3,0,20,15,0,1,6,0,0,113
CHAT,2,124,3,0,2,1,101,147,0,10,3,0,0,393
CHCH,4,123,3,0,1,4,17,10,0,0,4,0,4,170
CHCU,4,79,2,3,1,2,3,72,0,0,0,0,0,166
CHIC,8,148,5,0,2,0,25,14,0,100,2,0,0,304
CHIR,5,64,6,0,5,0,13,13,0,2,0,0,0,108
CHIS,3,44,16,0,1,0,37,9,0,2,0,2,0,114
CHOH,24,104,2,1,3,0,47,25,1,72,0,0,0,279
CHPI,4,48,3,0,2,0,1,10,0,0,0,0,0,68
CHRI,0,67,4,0,3,0,1,8,0,0,0,0,0,83
CHSC,20,59,8,1,14,0,42,9,1,6,6,0,0,166
CHYO,0,52,2,0,1,0,1,8,0,0,0,0,0,64
CIRO,2,52,2,0,1,0,5,10,0,0,0,0,0,72
CLBA,1,46,2,0,1,0,2,8,0,14,0,0,0,74
COGA,1,45,5,0,2,0,4,8,1,2,0,0,0,68
COLM,3,125,11,2,2,1,24,13,0,7,0,0,0,188
COLO,0,52,2,0,9,0,9,8,0,21,0,0,0,101
CONG,21,80,4,1,2,0,16,20,0,0,0,0,0,144
CORO,2,62,3,0,2,0,10,13,0,0,0,0,0,92
COWP,2,65,3,2,2,2,5,8,0,0,2,0,2,93
CRLA,10,92,6,0,2,0,22,17,1,2,2,0,0,154
CRMO,8,62,4,0,7,0,34,8,0,8,1,0,0,132
CRMP,0,4,2,0,1,0,0,4,0,0,0,0,0,11
CUGA,3,69,3,0,2,0,12,12,0,0,0,0,0,101
CUIS,20,83,5,7,4,1,36,12,0,11,0,0,0,179
CURE,0,82,4,0,2,0,15,10,0,19,0,2,0,134
CUVA,32,148,58,0,15,0,61,30,7,9,14,0,0,374
DAAV,8,59,5,0,1,0,4,8,0,1,0,0,0,86
DELA,0,4,2,0,1,0,0,4,0,0,0,0,0,11
DENA,60,252,2,4,90,0,119,59,1,3,12,0,0,602
DEPO,6,70,3,0,2,2,7,28,0,2,0,1,0,121
DESO,1,47,2,1,1,0,8,9,0,8,0,0,0,77
DETO,10,69,5,0,5,0,20,15,0,1,2,0,0,127
DEVA,3,197,4,0,3,0,42,32,0,10,2,7,0,300
DEWA,2,123,3,3,1,0,23,17,1,7,0,0,0,180
DINO,0,39,2,0,1,0,7,8,0,1,0,0,0,58
DRTO,2,74,2,0,1,0,9,21,0,22,0,0,0,131
EBLA,0,44,2,0,1,0,10,9,0,0,0,0,0,66
EDAL,3,43,3,0,1,0,11,8,0,17,0,0,0,86
EDIS,6,51,5,0,1,0,9,11,0,15,0,0,0,98
EFMO,3,47,2,0,2,0,11,12,0,0,1,0,0,78
EISE,0,27,2,0,1,0,0,8,0,1,0,0,0,39
ELMA,6,96,2,0,1,1,17,16,0,11,1,0,0,151
ELMO,4,44,2,0,1,1,9,8,0,0,1,0,1,71
ELRO,6,89,4,1,58,0,55,24,18,2,2,0,0,259
EUON,2,54,6,0,2,0,15,10,0,3,1,0,0,93
EVER,20,163,2,2,1,0,75,57,1,31,2,3,0,357
FEHA,12,44,2,0,1,1,12,13,0,3,0,0,1,89
FIIS,1,34,2,0,1,0,22,8,2,0,0,0,0,70
FILA,4,46,2,0,1,0,5,8,0,1,0,0,0,67
FLFO,0,4,2,0,1,0,0,4,0,0,0,0,0,11
