ID,ZONE NAME,DATE,HOURS,HOUR GROUP,FOTSC SUM
4702,Ocean Drive,2021-05-19,21,18-21,7.0
4702,Ocean Drive,2021-05-19,22,,8.0
4702,Ocean Drive,2021-05-19,23,,5.0
4702,Ocean Drive,2021-05-20,0,,0.0
4702,Ocean Drive,2021-05-20,1,,1.0
4702,Ocean Drive,2021-05-20,2,,0.0
4702,Ocean Drive,2021-05-20,3,,3.0
4702,Ocean Drive,2021-05-20,4,,9.0
4702,Ocean Drive,2021-05-20,5,,23.0
4702,Ocean Drive,2021-05-20,6,6-9,26.0
4702,Ocean Drive,2021-05-20,7,6-9,40.0
4702,Ocean Drive,2021-05-20,8,6-9,49.0
4702,Ocean Drive,2021-05-20,9,6-9,119.0
4702,Ocean Drive,2021-05-20,10,9-12,143.0
4702,Ocean Drive,2021-05-20,11,9-12,153.0
4702,Ocean Drive,2021-05-20,12,9-12,139.0
4702,Ocean Drive,2021-05-20,13,12-15,150.0
4702,Ocean Drive,2021-05-20,14,12-15,128.0
4702,Ocean Drive,2021-05-20,15,12-15,151.0
4702,Ocean Drive,2021-05-20,16,15-18,114.0
4702,Ocean Drive,2021-05-20,17,15-18,72.0
4702,Ocean Drive,2021-05-20,18,15-18,57.0
4702,Ocean Drive,2021-05-20,19,18-21,21.0
4702,Ocean Drive,2021-05-20,20,18-21,10.0
4702,Ocean Drive,2021-05-20,21,18-21,6.0
4702,Ocean Drive,2021-05-20,22,,1.0
4702,Ocean Drive,2021-05-20,23,,2.0
4702,Ocean Drive,2021-05-21,0,,0.0
4702,Ocean Drive,2021-05-21,1,,0.0
4702,Ocean Drive,2021-05-21,2,,1.0
4702,Ocean Drive,2021-05-21,3,,1.0
4702,Ocean Drive,2021-05-21,4,,6.0
4702,Ocean Drive,2021-05-21,5,,33.0
4702,Ocean Drive,2021-05-21,6,6-9,32.0
4702,Ocean Drive,2021-05-21,7,6-9,33.0
4702,Ocean Drive,2021-05-21,8,6-9,53.0
4702,Ocean Drive,2021-05-21,9,6-9,152.0
4702,Ocean Drive,2021-05-21,10,9-12,154.0
4702,Ocean Drive,2021-05-21,11,9-12,184.0
4702,Ocean Drive,2021-05-21,12,9-12,137.0
4702,Ocean Drive,2021-05-21,13,12-15,134.0
4702,Ocean Drive,2021-05-21,14,12-15,126.0
4702,Ocean Drive,2021-05-21,15,12-15,136.0
4702,Ocean Drive,2021-05-21,16,15-18,122.0
4702,Ocean Drive,2021-05-21,17,15-18,109.0
4702,Ocean Drive,2021-05-21,18,15-18,51.0
4702,Ocean Drive,2021-05-21,19,18-21,33.0
4702,Ocean Drive,2021-05-21,20,18-21,10.0
